@name,random,aiTextName,aiTechMod,aiPlayerCounter,aiTrainingMod,aiShipyardMod,aiTrMod,aiOffense,aiDefense,seaControlProbability,invadeProbability,protectProbability,aiShipbuilding,aiRefit,aiAction,aiNavalnvasion,aiParams,#ModifierShipyard,#ModifierRefit,#SUM,#modifiers for AI building,#modifiers for AI shipbuilding,#modifiers for AI refit
default,FALSE,-1,1,1,1,1,1,1,1,0.5,0.5,0.5,1,0.25,1,0.5,,,,,,,
default_ai,,,,,,,,,,,,,,,,,buildRatio(ss;0.3),0,0,,0.22,0.075,0.1
britain_ai,,"Frederick Richards, John Fisher, John Fisher, John Jellicoe, David Beatty, Ernle Chatfield",0.814,0.5,0.88,0.198,0.572,1.65,1.275,0.9,0.7,0.6,2.2,0.88,1.3,3,"buildRatio(bc;3.6), buildRatio(bb;4.9), buildRatio(ca;3.2), buildRatio(cl;1.6), buildRatio(dd;1.4), buildRatio(tb;1.4), buildRatio(ss;0.85),TechMod(engine_engine;20), TechMod(engine_boiler;20), TechMod(gun_main;20), TechMod(hull_cruiser;30), TechMod(hull_strength;20), TechMod(gun_mech;20)",3.45,0.6133333333,1.1776,,,
german_ai,,"Alfred von Tirpitz, Alfred von Tirpitz, Henning von Holtzendorff, Erich Raeder, Karl Dönitz ",0.77,0.4,0.99,0.2024,0.572,1.9,1.2,0.9,0.4,0.95,2.493333333,0.88,1.5,1.5,"buildRatio(bb;3.5), buildRatio(bc;3.5),, buildRatio(ca;1.1) buildRatio(dd;1), buildRatio(ss;3), buildRatio(cl;1.5), buildRatio(tb;0.6), TechMod(hull_strength;10), TechMod(armor_quality;90), TechMod(armor_forging;90), TechMod(aim_control;70), TechMod(aim_rangefinder;90), TechMod(surv_internal;30), TechMod(submarine_exp;30), TechMod(submarine_hull;30), TechMod(sub_surv;30), TechMod(gun_mech;20)",3.68,0.6133333333,1.1132,,,
france_ai,,"Theophile Aube, Jean de Lamornaix, Charles Touchard, Henri Salaun, François Darlan, François Darlan",0.66,0.2,0.88,0.132,0.572,2.44,2,0.8,0.99,0.5,1.906666667,1.1,0.7,1.5,"buildRatio(bc;2.4), buildRatio(bb;4), buildRatio(ca;2.25), buildRatio(cl;2.5), buildRatio(dd;1.7), buildRatio(ss;0.4), buildRatio(tb;3), TechMod(engine_boiler;40), TechMod(engine_special;17), TechMod(hull_cruiser;30), TechMod(hull_destroyer;40), TechMod(tactics_tactics;15), TechMod(tactics_comm;15), TechMod(tactics_asw;17), TechMod(gun_mech;40)",2.99,0.7666666667,1.0672,,,
usa_ai,,"George Dewey, George Dewey, Frank Fletcher, William Halsey, William D. Leahy, Chester Nimitz",0.88,0.7,1.1,0.198,0.572,1.6,1.5,0.8,,,2.933333333,0.066,2,4,"buildRatio(bc;1.5), buildRatio(bb;3.5), buildRatio(ca;1.3), buildRatio(cl;1.3), buildRatio(dd;1.4), buildRatio(ss;1),TechMod(hull_strength;30), TechMod(projectile_shell;30), TechMod(projectile_explosive;30), TechMod(torpedo_size;30), TechMod(torpedo_prop;30), TechMod(surv_internal;30), TechMod(aim_control;40), TechMod(gun_mech;20)",4.14,0.0138,1.2052,,,
russia_ai,,"Stepan Makarov, Zinovy Rozhestvensky, Mikhail Kedrov, Vasili Altfater, Romuald Muklevich, Alexey Sorokin",0.66,1,0.88,0.121,0.572,2.1,0.4,1.2,,,1.936,0.66,,0.6,"buildRatio(bc;2), buildRatio(bb;4), buildRatio(ca;2), buildRatio(cl;2), buildRatio(dd;3), buildRatio(ss;0.4), buildRatio(tb;3)",3.036,0.46,1.0212,,,
italy_ai,,"Edoardo Masdea, Marcello Amero D'Aste, Marcello Amero D'Aste, Marcello Amero D'Aste, Domenico Cavagnari, Inigo Campioni",0.66,0.1,0.99,0.132,0.572,0.9,0.8,0.75,0.6,0.6,11.73333333,1.1,,2,"buildRatio(bc;2), buildRatio(bb;3), buildRatio(ca;2), buildRatio(cl;2.5), buildRatio(dd;3.2), buildRatio(tb;3), buildRatio(ss;0.4)",34.5,0.7666666667,1.0672,,,
austria_ai,,"Friedrich von Pöck, Maximilian Daublebsky von Sterneck, Hermann von Spaun, Rudolf Montecuccoli, Miklós Horthy‎, Miklós Horthy‎",0.66,0.5,0.99,0.121,0.572,3,1.5,0.75,0.3,0.99,1.466666667,0.726,1.6,1.5,"buildRatio(bc;2), buildRatio(bb;3), buildRatio(ca;2), buildRatio(cl;3), TechMod(gun_layout;20), TechMod(gun_main;30), TechMod(armor_quality;30), TechMod(armor_forging;30), TechMod(surv_hull;20)",2.3,0.506,1.0672,,,
japan_ai,,"Tōgō Heihachirō, Tōgō Heihachirō, Tōgō Heihachirō, Shimamura Hayao, Yamamoto Isoroku, Yamamoto Isoroku",0.66,1,0.99,0.198,0.572,4,2.2,1.1,,,2.933333333,1.65,,4,"buildRatio(bc;3), buildRatio(bb;3), buildRatio(ca;3), buildRatio(dd;2), buildRatio(cl;2), buildRatio(tb;2), buildRatio(ss;1.5), TechMod(torpedo_size;30), TechMod(torpedo_tubes;30), TechMod(torpedo_prop;30), TechMod(hull_construction;40)",4.6,1.15,1.0672,,,
