name,Nation,AdmiralName,AdmiralSurname
## GERMANY,,,
germany_2,germany,Felix,von Bendemann
germany_3,germany,Otto,von Diederichs
germany_4,germany,Wilhelm,Büchsel
germany_5,germany,Friedrich,von Baudissin
germany_6,germany,Max,von Fischel 
germany_7,germany,August,von Heeringen
germany_8,germany,Hugo,von Pohl
germany_9,germany,Gustav,Bachmann
germany_10,germany,Reinhard,Scheer
germany_11,germany,Alfred,von Waldersee
germany_12,germany,Albrecht,von Stosch
germany_13,germany,Leo,von Caprivi
germany_14,germany,Alexander,von Monts
germany_15,germany,Alfred,von Schlieffen
germany_16,germany,Helmuth,von Moltke
germany_17,germany,Max,von der Goltz
germany_18,germany,Karl,Heusner
germany_19,germany,Friedrich,von Hollmann
germany_20,germany,Otto,von Bismarck
## BRITAIN,,,
britain_22,britain,George,Hamilton
britain_23,britain,John,Spencer
britain_24,britain,George,Goschen
britain_25,britain,William,Palmer
britain_26,britain,Frederick,Campbell
britain_27,britain,Edward,Marjoribanks
britain_28,britain,Reginald,McKenna
britain_29,britain,Winston,Churchill
britain_30,britain,Arthur,Balfour
britain_31,britain,Edward,Carson
britain_32,britain,Eric,Geddes
britain_33,britain,Walter,Long
britain_34,britain,Arthur, Lee
britain_35,britain,Leo, Amery
britain_36,britain,Frederic,Thesiger
britain_37,britain,William,Bridgeman
britain_38,britain,Albert,Alexander
britain_39,britain,Austen,Chamberlain
britain_40,britain,Bolton,Monsell
britain_41,britain,Samuel,Hoare
britain_42,britain,Duff,Cooper
britain_43,britain,James,Stanhope
britain_44,britain,Arthur,Wilson
britain_45,britain,Francis,Bridgeman
britain_46,britain,Louis,Mountbatten
britain_47,britain,Henry,Jackson
britain_48,britain,John,Jellicoe
britain_49,britain,Rosslyn,Wemyss
britain_50,britain,David,Beatty
britain_51,britain,Charles,Madden
britain_52,britain,Frederick,Field
britain_53,britain,Ernle, Chatfield
britain_54,britain,Roger,Backhouse
britain_55,britain,Dudley,Pound
britain_56,britain,Andrew,Cunningham
britain_57,britain,John,Cunningham
## FRANCE,,,
france_59,france,Louis,Vignes
france_60,france,Alfred,Gervais
france_61,france,Edgar,Humann
france_62,france,Charles,Chauvin
france_63,france,Jules,de Cuverville
france_64,france,Léonce,Caillard
france_65,france,Amédée,Bienaimé
france_66,france,Ernest,Marquer
france_67,france,Paul,Campion
france_68,france,Charles,Aubert
france_69,france,Laurent,Darbel
france_70,france,Paul,Auvert
france_71,france,Charles,Aubert
france_72,france,Pierre,Le Bris
france_73,france,Louis-Joseph,Pivet
france_74,france,Eugène,de Jonquières
france_75,france,Ferdinand,De Bon
france_76,france,Pierre-Alexis,Ronarc'h
france_77,france,Maurice,Grasset
france_78,france,Louis-Hippolyte,Violette
france_79,france,Georges,Durand-Viel
france_80,france,Gabriel,Auphan
france_81,france,Maurice,Le Luc
##AUSTRIA-HUNGARY,,,
austria_83,austria,Anton,Haus
austria_84,austria,Maximilian,Njegovan
austria_85,austria,Ludwig,von Fautz
austria_86,austria,Wilhelm,von Tegetthoff
austria_87,austria,Karl Kailer,von Kaltenfels
austria_88,austria,Franz,von Holub
austria_89,austria,Josef,von Romako
austria_90,austria,Siegfried Popper,Franz Pitzinger
austria_91,austria,Franz,Ferdinand
austria_92,austria,Ferdinand,Maximilian
austria_93,austria,Karl,Weyprecht
austria_94,austria,Bernhard,von Wüllerstorf
austria_95,austria,Gottfried,von Banfield
austria_96,austria,Georg Ludwig,von Trapp
austria_97,austria,Ludwig,von Höhnel
austria_98,austria,Julius,von Wagner
##ITALY,,,
italy_100,italy,Alfredo,Acton
italy_101,italy,Ferdinando,Acton
italy_102,italy,Guglielmo,Acton
italy_103,italy,Pietro,Barone
italy_104,italy,Romeo,Bernotti
italy_105,italy,Luigi,Biancheri
italy_106,italy,Umberto,Cagni
italy_107,italy,Felice,Canevaro
italy_108,italy,Alberto,da Zara
italy_109,italy,Oscar,Di Giamberardino
italy_110,italy,Luigi,Faravelli
italy_111,italy,Vincenzo,de Feo
italy_112,italy,Giuseppe,Fioravanzo
italy_113,italy,Franco,Garofalo
italy_114,italy,Azolino,Hazon
italy_115,italy,Giuseppe,Lombardi
italy_116,italy,Luigi,Mascherpa
italy_117,italy,Riccardo,Paladini
italy_118,italy,Vladimiro,Pini
italy_119,italy,Giuseppe,Sirianni
italy_120,italy,Luigi,Sansonetti
italy_121,italy,Odoardo,Somigli
italy_122,italy,Ettore,Sportiello
italy_123,italy,Manlio,Tarantini
italy_124,italy,Paolo Thaon,di Revel
italy_125,italy,Antonino,Toscano
##JAPAN,,,
japan_127,japan,Saigō,Jūdō
japan_128,japan,Itō,Sukeyuki
japan_129,japan,Inoue,Yoshika
japan_130,japan,Arisugawa,Takehito
japan_131,japan,Ijuin,Gorō
japan_132,japan,Higashifushimi,Yorihito
japan_133,japan,Shimamura,Hayao
japan_134,japan,Katō,Tomosaburō
japan_135,japan,Fushimi,Hiroyasu
japan_136,japan,Nagano,Osami
japan_137,japan,Koga,Mineichi
japan_138,japan,Kabayama,Sukenori
japan_139,japan,Yamamoto,Gonnohyōe
japan_140,japan,Kawamura,Sumiyoshi
japan_141,japan,Samejima,Kazunori
japan_142,japan,Shibayama,Yahachi
japan_143,japan,Hidaka,Sōnojō
japan_144,japan,Kataoka,Shichirō
japan_145,japan,Kamimura,Hikonojō
japan_146,japan,Dewa,Shigetō
japan_147,japan,Uryū,Sotokichi
japan_148,japan,Hidaka,Sōnojō
japan_149,japan,Saitō,Makoto
japan_150,japan,Misu,Sotarō
japan_151,japan,Shigetarō,Yoshimatsu
japan_152,japan,Fujii,Kōichi
##RUSSIA,,,
russia_154,russia,Nikolai,Nebogatov
russia_155,russia,Oskar,Enqvist
russia_156,russia,Mikhail,Bakhirev
russia_157,russia,Ivan,Grigorovich
russia_158,russia,Karl,Jessen
russia_159,russia,Alexander,Kolchak
russia_160,russia,Andrei,Popov
russia_161,russia,Kazimierz,Porębski
russia_162,russia,Robert,Nikolayevich
russia_163,russia,Yevgeny,Berens
russia_164,russia,Aleksandr,Nemits
russia_165,russia,Eduard,Pantserzhansky
russia_166,russia,Vyacheslav,Zof
russia_167,russia,Vladimir,Orlov
russia_168,russia,Lev,Galler
